0.2, 0.5, 0.3
0.9, 0.2, 0.1
0.2, 1, 0.6,
0.53, 0.42, 0.84,
0.63, 0.90, 0.43,
0.28, 0.82,	0.06,
0.13, 0.96,	0.07,
0.68, 0.28,	0.21,
0.88, 0.74,	0.38,
0.11, 0.43,	0.46,
0.11, 0.54,	0.05,
0.67, 0.41,	0.86,
0.87, 0.37,	0.13,
0.27, 0.80,	0.29,
0.14, 0.08,	0.18,
0.34, 0.30,	0.74,
0.77, 0.68,	0.11,
0.55, 0.94,	0.50,
0.83, 0.10,	0.60,
0.60, 0.43,	0.70,
0.99, 0.47,	0.66,
0.53, 0.84,	0.56,
0.83, 0.60,	0.69,
0.06, 0.51,	0.73,
0.33, 0.07,	0.16,
0.28, 0.20,	0.72,
0.23, 0.45,	0.09,
0.16, 0.35,	0.53,
0.53, 0.78,	0.04,
0.56, 0.34,	0.47,
0.77, 0.70,	0.43,
0.10, 0.72,	0.17,
0.62, 0.64,	0.24,
0.76, 0.52,	0.78,
0.52, 0.80,	0.77
